DateTime,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),holdings,Assets Under Management
10/18/2023,ProShares Bitcoin ETF,BITO,14.3841,14.5341,-1.03206,-0.15,61830,889368917.4
10/19/2023,ProShares Bitcoin ETF,BITO,14.6791,14.3841,2.05088,0.295,61830,907608767.7
10/20/2023,ProShares Bitcoin ETF,BITO,15.0829,14.6791,2.75085,0.4038,61830,932575722.1
10/23/2023,ProShares Bitcoin ETF,BITO,16.011,15.0829,6.15333,0.9281,61450,983875966
10/24/2023,ProShares Bitcoin ETF,BITO,17.2129,16.011,7.50671,1.2019,61980,1066855559
10/25/2023,ProShares Bitcoin ETF,BITO,17.7406,17.2129,3.06572,0.5277,61980,1099562406
10/26/2023,ProShares Bitcoin ETF,BITO,17.288,17.7406,-2.55121,-0.4526,62680,1083611857
10/27/2023,ProShares Bitcoin ETF,BITO,17.1101,17.288,-1.02904,-0.1779,62680,1072461085
10/30/2023,ProShares Bitcoin ETF,BITO,17.5181,17.1101,2.38456,0.408,62140,1088574752
10/31/2023,ProShares Bitcoin ETF,BITO,17.5945,17.5181,0.43612,0.0764,62520,1100008158
11/01/2023,ProShares Bitcoin ETF,BITO,17.4928,17.5945,-0.57802,-0.1017,67770,1185487073
11/02/2023,ProShares Bitcoin ETF,BITO,17.6725,17.4928,1.02728,0.1797,70720,1249799218
11/03/2023,ProShares Bitcoin ETF,BITO,17.4355,17.6725,-1.34107,-0.237,70720,1233038577
11/06/2023,ProShares Bitcoin ETF,BITO,17.7021,17.4355,1.52906,0.2666,70720,1251892530
11/07/2023,ProShares Bitcoin ETF,BITO,18.1168,17.7021,2.34266,0.4147,70720,1281220114
11/08/2023,ProShares Bitcoin ETF,BITO,18.0023,18.1168,-0.63201,-0.1145,74220,1336130724
11/09/2023,ProShares Bitcoin ETF,BITO,18.4445,18.0023,2.45635,0.4422,74920,1381861958
11/10/2023,ProShares Bitcoin ETF,BITO,18.828,18.4445,2.07921,0.3835,75260,1416995299
11/13/2023,ProShares Bitcoin ETF,BITO,18.5165,18.828,-1.65445,-0.3115,75260,1393551809
11/14/2023,ProShares Bitcoin ETF,BITO,17.7447,18.5165,-4.16817,-0.7718,73850,1310446113
11/15/2023,ProShares Bitcoin ETF,BITO,18.9806,17.7447,6.9649,1.2359,73850,1401717329
11/16/2023,ProShares Bitcoin ETF,BITO,18.0979,18.9806,-4.65054,-0.8827,73850,1336529933
11/17/2023,ProShares Bitcoin ETF,BITO,18.372,18.0979,1.51454,0.2741,73850,1356772218
11/20/2023,ProShares Bitcoin ETF,BITO,18.9392,18.372,3.08731,0.5672,73850,1398659939
11/21/2023,ProShares Bitcoin ETF,BITO,18.5688,18.9392,-1.95573,-0.3704,73850,1371305899
11/22/2023,ProShares Bitcoin ETF,BITO,18.9733,18.5688,2.17839,0.4045,75450,1431535504
11/24/2023,ProShares Bitcoin ETF,BITO,19.0897,18.9733,0.61349,0.1164,75450,1440317884
11/27/2023,ProShares Bitcoin ETF,BITO,18.41,19.0897,-3.56056,-0.6797,76550,1409285518
11/28/2023,ProShares Bitcoin ETF,BITO,19.242,18.41,4.51928,0.832,76550,1472975119
11/29/2023,ProShares Bitcoin ETF,BITO,18.816,19.242,-2.21391,-0.426,77550,1459180819
11/30/2023,ProShares Bitcoin ETF,BITO,18.8796,18.816,0.33801,0.0636,77220,1457882731
12/01/2023,ProShares Bitcoin ETF,BITO,19.2748,18.8796,2.09326,0.3952,77220,1488400075
12/04/2023,ProShares Bitcoin ETF,BITO,20.7694,19.2748,7.75417,1.4946,76530,1589482203
12/05/2023,ProShares Bitcoin ETF,BITO,21.7697,20.7694,4.81622,1.0003,76530,1666035163
12/06/2023,ProShares Bitcoin ETF,BITO,21.7382,21.7697,-0.1447,-0.0315,77190,1677971680
12/07/2023,ProShares Bitcoin ETF,BITO,21.4839,21.7382,-1.16983,-0.2543,77190,1658342262
12/08/2023,ProShares Bitcoin ETF,BITO,22.0839,21.4839,2.79279,0.6,77190,1704656263
12/11/2023,ProShares Bitcoin ETF,BITO,20.1818,22.0839,-8.61306,-1.9021,76480,1543504084
12/12/2023,ProShares Bitcoin ETF,BITO,20.391,20.1818,1.03658,0.2092,75330,1536054050
12/13/2023,ProShares Bitcoin ETF,BITO,21.2594,20.391,4.25874,0.8684,75280,1600407653
12/14/2023,ProShares Bitcoin ETF,BITO,21.2444,21.2594,-0.07056,-0.015,75280,1599278453
12/15/2023,ProShares Bitcoin ETF,BITO,20.8997,21.2444,-1.62255,-0.3447,76280,1594229137
12/18/2023,ProShares Bitcoin ETF,BITO,20.7382,20.8997,-0.77274,-0.1615,76280,1581909917
12/19/2023,ProShares Bitcoin ETF,BITO,20.8572,20.7382,0.57382,0.119,76280,1590987237
12/20/2023,ProShares Bitcoin ETF,BITO,21.3535,20.8572,2.37951,0.4963,76280,1628845001
12/21/2023,ProShares Bitcoin ETF,BITO,21.4616,21.3535,0.50624,0.1081,76780,1647821669
12/22/2023,ProShares Bitcoin ETF,BITO,21.4288,21.4616,-0.15283,-0.0328,76780,1645303285
12/26/2023,ProShares Bitcoin ETF,BITO,20.638,21.4288,-3.69036,-0.7908,77900,1607700221
12/27/2023,ProShares Bitcoin ETF,BITO,21.3235,20.638,3.32154,0.6855,78900,1682424171
12/28/2023,ProShares Bitcoin ETF,BITO,20.7989,21.3235,-2.4602,-0.5246,82150,1708629656
12/29/2023,ProShares Bitcoin ETF,BITO,20.4958,20.7989,-1.45729,-0.3031,82950,1700126630
01/02/2024,ProShares Bitcoin ETF,BITO,21.8701,20.4958,6.70528,1.3743,83370,1823310259
01/03/2024,ProShares Bitcoin ETF,BITO,20.7817,21.8701,-4.97666,-1.0884,83610,1737557958
01/04/2024,ProShares Bitcoin ETF,BITO,21.5413,20.7817,3.65514,0.7596,85610,1844150715
01/05/2024,ProShares Bitcoin ETF,BITO,21.4137,21.5413,-0.59235,-0.1276,87210,1867488798
01/08/2024,ProShares Bitcoin ETF,BITO,22.8182,21.4137,6.55889,1.4045,88090,2010055261
01/09/2024,ProShares Bitcoin ETF,BITO,22.7015,22.8182,-0.51143,-0.1167,97840,2221114783
01/10/2024,ProShares Bitcoin ETF,BITO,22.3492,22.7015,-1.55188,-0.3523,101950,2278500962
01/11/2024,ProShares Bitcoin ETF,BITO,22.3239,22.3492,-0.1132,-0.0253,96740,2159614108
01/12/2024,ProShares Bitcoin ETF,BITO,21.0474,22.3239,-5.71809,-1.2765,89900,1892161281
01/16/2024,ProShares Bitcoin ETF,BITO,20.885,21.0474,-0.77159,-0.1624,88400,1846234021
01/17/2024,ProShares Bitcoin ETF,BITO,20.6656,20.885,-1.05051,-0.2194,89780,1855357589
01/18/2024,ProShares Bitcoin ETF,BITO,19.7335,20.6656,-4.51039,-0.9321,93270,1840543565
01/19/2024,ProShares Bitcoin ETF,BITO,20.0767,19.7335,1.73917,0.3432,90770,1822362079
01/22/2024,ProShares Bitcoin ETF,BITO,19.3939,20.0767,-3.40096,-0.6828,91870,1781717612
01/23/2024,ProShares Bitcoin ETF,BITO,18.9518,19.3939,-2.27958,-0.4421,93270,1767634405
01/24/2024,ProShares Bitcoin ETF,BITO,19.1478,18.9518,1.0342,0.196,93070,1782085765
01/25/2024,ProShares Bitcoin ETF,BITO,19.1734,19.1478,0.1337,0.0256,93230,1787536101
01/26/2024,ProShares Bitcoin ETF,BITO,20.3066,19.1734,5.91027,1.1332,93400,1896636460
01/29/2024,ProShares Bitcoin ETF,BITO,20.857,20.3066,2.71045,0.5504,96020,2002689161
01/30/2024,ProShares Bitcoin ETF,BITO,21.015,20.857,0.75754,0.158,89200,1874538021
01/31/2024,ProShares Bitcoin ETF,BITO,20.5077,21.015,-2.41399,-0.5073,88050,1805703006
02/01/2024,ProShares Bitcoin ETF,BITO,20.3772,20.5077,-0.63635,-0.1305,88070,1794620024
02/02/2024,ProShares Bitcoin ETF,BITO,20.3494,20.3772,-0.13643,-0.0278,88070,1792171678
02/05/2024,ProShares Bitcoin ETF,BITO,20.0594,20.3494,-1.4251,-0.29,85070,1706453178
02/06/2024,ProShares Bitcoin ETF,BITO,20.4229,20.0594,1.81212,0.3635,85070,1737376123
02/07/2024,ProShares Bitcoin ETF,BITO,20.9446,20.4229,2.55449,0.5217,82820,1734631793
02/08/2024,ProShares Bitcoin ETF,BITO,21.5797,20.9446,3.03229,0.6351,83370,1799099611
02/09/2024,ProShares Bitcoin ETF,BITO,22.5365,21.5797,4.4338,0.9568,84870,1912672778
02/12/2024,ProShares Bitcoin ETF,BITO,23.8156,22.5365,5.67568,1.2791,85720,2041473256
02/13/2024,ProShares Bitcoin ETF,BITO,23.4326,23.8156,-1.60819,-0.383,85220,1996926195
02/14/2024,ProShares Bitcoin ETF,BITO,24.5534,23.4326,4.78308,1.1208,85220,2092440773
02/15/2024,ProShares Bitcoin ETF,BITO,24.5441,24.5534,-0.03788,-0.0093,87520,2148099657
02/16/2024,ProShares Bitcoin ETF,BITO,24.5925,24.5441,0.1972,0.0484,87520,2152335625
02/20/2024,ProShares Bitcoin ETF,BITO,24.6459,24.5925,0.21714,0.0534,87520,2157009193
02/21/2024,ProShares Bitcoin ETF,BITO,24.1113,24.6459,-2.16912,-0.5346,87820,2117454390
02/22/2024,ProShares Bitcoin ETF,BITO,24.6135,24.1113,2.08284,0.5022,87820,2161557595
02/23/2024,ProShares Bitcoin ETF,BITO,24.1679,24.6135,-1.81039,-0.4456,87650,2118316459
02/26/2024,ProShares Bitcoin ETF,BITO,25.818,24.1679,6.82765,1.6501,87650,2262947726
02/27/2024,ProShares Bitcoin ETF,BITO,26.9025,25.818,4.20056,1.0845,87510,2354237802
02/28/2024,ProShares Bitcoin ETF,BITO,28.4105,26.9025,5.60543,1.508,90210,2562911233
02/29/2024,ProShares Bitcoin ETF,BITO,29.2922,28.4105,3.10343,0.8817,90210,2642449391
03/01/2024,ProShares Bitcoin ETF,BITO,29.0595,29.2922,-0.79441,-0.2327,90610,2633081324
03/04/2024,ProShares Bitcoin ETF,BITO,31.1978,29.0595,7.35835,2.1383,92020,2870821587
03/05/2024,ProShares Bitcoin ETF,BITO,28.4469,31.1978,-8.81761,-2.7509,93420,2657509426
03/06/2024,ProShares Bitcoin ETF,BITO,30.8883,28.4469,8.58231,2.4414,95380,2946126085
03/07/2024,ProShares Bitcoin ETF,BITO,31.1613,30.8883,0.88383,0.273,95680,2981513215
03/08/2024,ProShares Bitcoin ETF,BITO,31.8235,31.1613,2.12507,0.6622,96380,3067148962
03/11/2024,ProShares Bitcoin ETF,BITO,33.1489,31.8235,4.16485,1.3254,95890,3178648054
03/12/2024,ProShares Bitcoin ETF,BITO,32.7639,33.1489,-1.16143,-0.385,95620,3132884151
03/13/2024,ProShares Bitcoin ETF,BITO,33.7314,32.7639,2.95295,0.9675,94220,3178172542
03/14/2024,ProShares Bitcoin ETF,BITO,31.7468,33.7314,-5.88354,-1.9846,94020,2984834168
03/15/2024,ProShares Bitcoin ETF,BITO,31.5578,31.7468,-0.59534,-0.189,94490,2981896554
03/18/2024,ProShares Bitcoin ETF,BITO,30.6412,31.5578,-2.90451,-0.9166,93650,2869548411
03/19/2024,ProShares Bitcoin ETF,BITO,29.466,30.6412,-3.83536,-1.1752,93850,2765384129
03/20/2024,ProShares Bitcoin ETF,BITO,30.11,29.466,2.18557,0.644,93680,2820704830
03/21/2024,ProShares Bitcoin ETF,BITO,29.8547,30.11,-0.84789,-0.2553,94480,2820672086
03/22/2024,ProShares Bitcoin ETF,BITO,29.2159,29.8547,-2.1397,-0.6388,93480,2731102361
03/25/2024,ProShares Bitcoin ETF,BITO,32.4754,29.2159,11.1566,3.2595,93140,3024758788
03/26/2024,ProShares Bitcoin ETF,BITO,31.7028,32.4754,-2.37903,-0.7726,93440,2962309664
03/27/2024,ProShares Bitcoin ETF,BITO,31.2861,31.7028,-1.31439,-0.4167,93890,2937451960
03/28/2024,ProShares Bitcoin ETF,BITO,32.2962,31.2861,3.22859,1.0101,94590,3054897590
04/01/2024,ProShares Bitcoin ETF,BITO,30.654,32.2962,-5.08481,-1.6422,94210,2887913371
04/02/2024,ProShares Bitcoin ETF,BITO,28.9926,30.654,-5.41985,-1.6614,93760,2718346205
04/03/2024,ProShares Bitcoin ETF,BITO,28.8961,28.9926,-0.33284,-0.0965,94050,2717678234
04/04/2024,ProShares Bitcoin ETF,BITO,30.0097,28.8961,3.85381,1.1136,94450,2834416195
04/05/2024,ProShares Bitcoin ETF,BITO,29.5336,30.0097,-1.58649,-0.4761,94830,2800671318
04/08/2024,ProShares Bitcoin ETF,BITO,31.4483,29.5336,6.48312,1.9147,93570,2942617462
