Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
8-Dec-04,43.78,$436.90,99.9777,43.68026,44.005,$44.03,0.05%,6113700,2929780.58,91.13,1.28E+09
9-Dec-04,43.44,$437.10,99.9766,43.69978,43.764,$43.77,0.00%,3553400,2929780.58,91.13,1.28E+09
10-Dec-04,43.91,$434.00,99.9754,43.38932,43.444,$43.45,0.00%,2464200,2929780.58,91.13,1.27E+09
13-Dec-04,43.55,$434.00,99.9721,43.49789,43.892,$43.90,0.02%,1445100,2929780.58,91.13,1.27E+09
14-Dec-04,43.99,$437.10,99.9711,43.69739,43.547,$43.55,0.01%,2240600,2929780.58,91.13,1.28E+09
15-Dec-04,43.68,$439.00,99.9701,43.8869,43.996,$43.99,-0.03%,2641400,2929780.58,91.13,1.29E+09
16-Dec-04,44.19,$439.50,99.969,43.93641,43.701,$43.71,0.02%,3269800,2929780.58,91.13,1.29E+09
17-Dec-04,44.34,$438.90,99.9679,43.87594,44.14,$44.18,0.08%,1889300,2849806.22,88.64,1.25E+09
20-Dec-04,44.22,$442.45,99.9648,44.22947,44.209,$44.35,0.31%,1942100,2849806.22,88.64,1.26E+09
21-Dec-04,44.02,$440.95,99.9637,44.07899,44.168,$44.22,0.11%,1373400,2849806.22,88.64,1.26E+09
22-Dec-04,44.27,$441.00,99.9626,44.08351,43.983,$44.01,0.06%,2705700,2949768.83,91.75,1.30E+09
23-Dec-04,44.27,$441.10,99.9615,44.09303,44.177,$44.27,0.21%,639800,2949768.83,91.75,1.30E+09
24-Dec-04,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
27-Dec-04,44.37,$441.10,99.9572,44.20108,44.48,$44.47,-0.02%,2637900,2949768.83,91.75,1.30E+09
28-Dec-04,43.66,$441.10,99.9561,44.20059,44.41,$44.39,-0.06%,773200,2949768.83,91.75,1.30E+09
29-Dec-04,43.8,$440.25,99.9551,44.3301,43.61,$43.67,0.13%,5632200,2949768.83,91.75,1.31E+09
30-Dec-04,43.8,$435.60,99.9533,43.53968,43.779,$43.82,0.08%,1289600,3049722.19,94.86,1.33E+09
31-Dec-04,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
3-Jan-05,42.74,$435.60,99.9491,43.77774,42.983,$43.01,0.06%,4750400,3509488.41,109.16,1.54E+09
4-Jan-05,42.67,$427.75,99.9472,42.75242,42.722,$42.75,0.05%,3456800,3508826.93,109.14,1.50E+09
